$ kubectl top pods -n tasklane
NAME                                   CPU(cores)   MEMORY(bytes)   
postgres-0                             42m          51Mi            
sched-anti-affinity-868d6cb8cc-fmlg9   0m           0Mi             
sched-batch-566df5c77b-6ztql           0m           0Mi             
sched-batch-566df5c77b-k9zc9           0m           0Mi             
sched-node-affinity-5bffb9f8fc-8tcmh   0m           0Mi             
sched-node-affinity-5bffb9f8fc-jtvpm   0m           0Mi             
sched-node-affinity-5bffb9f8fc-mb6c2   0m           0Mi             
sched-node-affinity-5bffb9f8fc-snjdx   0m           0Mi             
sched-spread-5467d59fb6-s77vk          0m           0Mi             
sched-toleration-85f76767b-5psbl       0m           0Mi             
sched-toleration-85f76767b-p2knn       0m           0Mi             
tasklane-api-8657c86899-2hcng          1m           4Mi             
tasklane-api-8657c86899-r75wr          3m           4Mi             
tasklane-api-canary-6f5fb6c977-2hgth   1m           9Mi             
tasklane-worker-6f7f78f4b5-q47zc       2m           4Mi             
tasklane-worker-6f7f78f4b5-q7lbl       2m           4Mi
